"","Country.Name","SE.XPD.TOTL.GD.ZS_2010","SE.PRM.ENRR.FE_2010","SE.ENR.PRIM.FM.ZS_2010","SE.PRM.UNER_2010","SE.XPD.TOTL.GD.ZS_2011","SE.PRM.ENRR.FE_2011","SE.ENR.PRIM.FM.ZS_2011","SE.PRM.UNER_2011","SE.XPD.TOTL.GD.ZS_2012","SE.PRM.ENRR.FE_2012","SE.ENR.PRIM.FM.ZS_2012","SE.PRM.UNER_2012","SE.XPD.TOTL.GD.ZS_2013","SE.PRM.ENRR.FE_2013","SE.ENR.PRIM.FM.ZS_2013","SE.PRM.UNER_2013","SE.XPD.TOTL.GD.ZS_2014","SE.PRM.ENRR.FE_2014","SE.ENR.PRIM.FM.ZS_2014","SE.PRM.UNER_2014","SE.XPD.TOTL.GD.ZS_2015","SE.PRM.ENRR.FE_2015","SE.ENR.PRIM.FM.ZS_2015","SE.PRM.UNER_2015","SE.XPD.TOTL.GD.ZS_2016","SE.PRM.ENRR.FE_2016","SE.ENR.PRIM.FM.ZS_2016","SE.PRM.UNER_2016","SE.XPD.TOTL.GD.ZS_2017","SE.PRM.ENRR.FE_2017","SE.ENR.PRIM.FM.ZS_2017","SE.PRM.UNER_2017","SE.XPD.TOTL.GD.ZS_2018","SE.PRM.ENRR.FE_2018","SE.ENR.PRIM.FM.ZS_2018","SE.PRM.UNER_2018","SE.XPD.TOTL.GD.ZS_2019","SE.PRM.ENRR.FE_2019","SE.ENR.PRIM.FM.ZS_2019","SE.PRM.UNER_2019"
"35","Cambodia",1.53379,120.18495,0.94355,117131,1.51069,117.84765,0.93286,40924,1.5609,117.48235,0.93234,40982,2.05054,117.56851,0.90988,NA,1.90939,113.54032,0.94616,84830,NA,116.65059,0.99283,82584,NA,108.74761,0.97469,134186,NA,106.46344,0.97582,180125,2.16286,106.07808,0.976,186109,NA,105.0312,0.97389,190043
"36","Cameroon",2.99366,100.18631,0.86391,NA,2.76677,99.69366,0.86947,363235,2.69718,104.25835,0.87633,187344,2.76802,NA,NA,NA,2.68713,106.69805,0.89088,174485,2.76805,109.93873,0.89826,164168,2.65423,109.98694,0.90038,192130,3.15482,104.50628,0.90056,258823,3.1312,98.0121,0.90162,NA,NA,100.20982,0.90121,346513
"37","Canada",5.36993,98.90506,1.00521,NA,5.27444,98.54883,1.00714,NA,NA,100.06698,1.01077,12027,NA,100.91373,1.01116,12482,NA,102.15868,1.01199,13487,NA,102.90796,1.00807,9238,NA,101.06847,1.00086,1013,NA,100.81914,0.99759,2753,NA,101.2754,0.99566,5025,NA,NA,NA,NA
"38","Caribbean small states",NA,97.91643,0.97917,53525,NA,99.17152,0.98228,49852,NA,99.62442,0.98525,51087,NA,98.8509,0.97254,54402,NA,98.33717,0.97647,55271,NA,99.94649,1.00311,51935,NA,98.22032,0.98007,55824,NA,97.32838,0.98024,60576,NA,97.15853,0.97172,64658,NA,95.45425,0.98267,67504
"39","Cayman Islands",NA,NA,NA,NA,NA,95.52168,1.04012,482,NA,93.25323,1.03064,499,NA,88.38361,1.0195,598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.12836,0.96686,511,NA,NA,NA,NA
"40","Central African Republic",1.11761,73.40723,0.72568,244035,1.10792,74.54874,0.74024,264970,NA,75.71212,0.75847,252222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.3694,0.7801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Central Europe and the Baltics",NA,98.62449,0.9912,160742,NA,98.57657,0.99304,165109,NA,99.46705,0.99598,155687,NA,98.83572,0.99573,172337,NA,98.16121,0.9963,192673,NA,97.48528,0.99773,207711,NA,96.83118,0.99839,232060,NA,96.36232,0.99779,252049,NA,94.95187,0.99367,262743,NA,94.98712,0.99347,260320
"42","Chad",1.98194,69.10147,0.73016,NA,2.2579,75.72748,0.74618,816390,2.20615,79.79502,0.75326,NA,2.85071,86.31782,0.7579,509010,NA,87.31285,0.754,NA,NA,79.44822,0.76636,511634,NA,75.46867,0.76868,674855,2.45482,67.69158,0.75711,840265,NA,78.49581,0.77783,693571,NA,78.04171,0.77824,723879
"43","Channel Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Chile",4.16209,102.22481,0.97152,42194,4.04519,101.71235,0.9683,49451,NA,101.55767,0.96834,51097,4.52943,99.81939,0.96874,57277,4.73095,99.34767,0.96944,56759,4.87531,99.13218,0.97015,54386,5.34201,99.45711,0.97082,45312,5.41946,99.94247,0.97158,33899,NA,100.664,0.97127,19351,NA,NA,NA,NA
"45","China",NA,98.04289,0.98268,NA,NA,98.24032,0.98486,NA,NA,99.19531,0.9889,NA,NA,99.43689,0.99761,NA,NA,95.83343,1.00072,NA,NA,96.44554,1.00246,NA,NA,98.22966,1.00509,NA,NA,99.90993,1.00948,NA,NA,100.83158,1.01135,NA,NA,102.56461,1.01172,NA
"46","Colombia",4.83383,119.29285,0.98337,92389,4.46608,115.65773,0.96707,112318,4.37039,113.04351,0.96788,196206,4.87855,114.74792,0.97471,NA,4.62946,112.65401,0.9682,NA,4.47039,113.40598,0.96946,140666,4.47721,114.59583,0.97279,175096,4.53551,113.11086,0.96862,100446,4.45749,112.75912,0.97025,85793,NA,NA,NA,NA
"47","Comoros",NA,NA,NA,NA,2.83045,98.87806,0.84609,NA,2.74784,NA,NA,NA,2.38276,103.78357,0.94202,13563,2.74473,101.1995,0.93166,15345,2.54506,NA,NA,NA,NA,NA,NA,NA,NA,97.23629,0.95721,17935,NA,99.42279,0.99835,22667,NA,NA,NA,NA
"48","Congo, Dem. Rep.",1.52498,93.03693,0.87039,NA,NA,94.11845,0.87043,NA,NA,98.84891,0.88215,NA,2.06221,101.28365,0.90629,NA,1.95143,104.89545,0.90907,NA,2.17044,107.57629,0.99266,NA,2.11869,NA,NA,NA,1.45495,NA,NA,NA,NA,114.67573,0.93854,NA,NA,NA,NA,NA
"49","Congo, Rep.",6.22079,106.09829,0.94572,88847,NA,106.08415,0.94428,NA,NA,110.50568,1.07474,73737,NA,NA,NA,NA,4.0172,NA,NA,NA,4.56147,NA,NA,NA,NA,NA,NA,NA,5.46505,NA,NA,NA,3.51105,NA,NA,NA,NA,NA,NA,NA
"50","Costa Rica",6.63445,115.7286,0.9806,NA,6.45535,114.84384,0.98253,166,6.68984,113.77843,0.98492,246,6.84934,111.59637,0.98748,2078,6.86952,111.27261,0.99129,9974,7.08254,110.97032,0.99426,8005,7.09768,112.08994,1.00577,6189,7.31572,111.46981,1.01129,13846,6.97857,113.80664,1.00888,509,7.04876,116.62112,1.00741,555
"51","Cote d'Ivoire",4.55346,NA,NA,NA,4.13755,72.19464,0.82792,NA,4.65411,75.60637,0.84137,NA,4.729,77.56193,0.85789,1136993,4.57743,80.61577,0.86716,987969,3.49416,84.87671,0.88031,864920,3.97232,90.62413,0.89618,489791,3.80348,93.81539,0.91179,430570,3.25603,95.97512,0.92644,241575,NA,97.23086,0.94057,199358
"52","Croatia",4.24204,91.97955,1.00075,9034,4.15011,93.39041,0.99694,4785,NA,96.40122,1.00045,1905,4.56487,99.84395,1.00303,2218,NA,100.78111,0.99586,1950,NA,100.57915,1,1851,NA,98.40669,1.0041,2636,3.91713,96.53224,1.00124,2304,NA,94.75321,1.0031,2766,NA,NA,NA,NA
"53","Cuba",12.83731,100.2241,0.97654,7007,NA,100.28652,0.97835,10264,NA,99.85049,0.98132,15962,NA,98.33487,0.98448,15699,NA,97.4364,0.9506,37618,NA,96.49493,0.94312,44344,NA,96.98299,0.95083,40376,NA,97.77472,0.94929,31515,NA,99.58639,0.95668,15680,NA,101.04029,0.96602,5703
"54","Curacao",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.93095,157.67288,0.96031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
