series,timestamp,value,label
E,2021-05-17T11:04:50.000Z,110.88178253173828,
A,2021-05-17T11:05:00.000Z,3579.307373046875,label_1
B,2021-05-17T11:05:00.000Z,156.39822387695312,
C,2021-05-17T11:05:00.000Z,108.88612365722656,
D,2021-05-17T11:05:00.000Z,116.43273162841797,
E,2021-05-17T11:05:00.000Z,110.86050415039062,
A,2021-05-17T11:05:10.000Z,3579.307373046875,label_1
B,2021-05-17T11:05:10.000Z,156.39822387695312,
C,2021-05-17T11:05:10.000Z,108.88612365722656,
D,2021-05-17T11:05:10.000Z,116.43273162841797,
E,2021-05-17T11:05:10.000Z,110.86050415039062,
A,2021-05-17T11:05:20.000Z,3579.307373046875,label_1
B,2021-05-17T11:05:20.000Z,156.39822387695312,
C,2021-05-17T11:05:20.000Z,108.88612365722656,
D,2021-05-17T11:05:20.000Z,116.43273162841797,
E,2021-05-17T11:05:20.000Z,110.86050415039062,
A,2021-05-17T11:05:30.000Z,3810.326416015625,label_1
B,2021-05-17T11:05:30.000Z,156.39822387695312,
C,2021-05-17T11:05:30.000Z,108.75889587402344,
D,2021-05-17T11:05:30.000Z,116.22005462646484,
E,2021-05-17T11:05:30.000Z,110.8392333984375,
A,2021-05-17T11:05:40.000Z,3810.326416015625,label_1
B,2021-05-17T11:05:40.000Z,156.39822387695312,
C,2021-05-17T11:05:40.000Z,108.75889587402344,
D,2021-05-17T11:05:40.000Z,116.22005462646484,
E,2021-05-17T11:05:40.000Z,110.8392333984375,
A,2021-05-17T11:05:50.000Z,3810.326416015625,label_1
B,2021-05-17T11:05:50.000Z,156.39822387695312,
C,2021-05-17T11:05:50.000Z,108.75889587402344,
D,2021-05-17T11:05:50.000Z,116.22005462646484,
E,2021-05-17T11:05:50.000Z,110.8392333984375,
A,2021-05-17T11:06:00.000Z,3876.506103515625,label_1
B,2021-05-17T11:06:00.000Z,156.33363342285156,
C,2021-05-17T11:06:00.000Z,108.69529724121094,
D,2021-05-17T11:06:00.000Z,115.94355010986328,
E,2021-05-17T11:06:00.000Z,110.77539825439453,
A,2021-05-17T11:06:10.000Z,3876.506103515625,label_1
B,2021-05-17T11:06:10.000Z,156.33363342285156,
C,2021-05-17T11:06:10.000Z,108.69529724121094,
D,2021-05-17T11:06:10.000Z,115.94355010986328,
E,2021-05-17T11:06:10.000Z,110.77539825439453,
A,2021-05-17T11:06:20.000Z,3876.506103515625,label_1
B,2021-05-17T11:06:20.000Z,156.33363342285156,
C,2021-05-17T11:06:20.000Z,108.69529724121094,
D,2021-05-17T11:06:20.000Z,115.94355010986328,
E,2021-05-17T11:06:20.000Z,110.77539825439453,
A,2021-05-17T11:06:30.000Z,3740.087158203125,label_1
B,2021-05-17T11:06:30.000Z,156.26901245117188,
C,2021-05-17T11:06:30.000Z,108.58930969238281,
D,2021-05-17T11:06:30.000Z,115.73090362548828,
E,2021-05-17T11:06:30.000Z,110.73287200927734,
A,2021-05-17T11:06:40.000Z,3740.087158203125,label_1
B,2021-05-17T11:06:40.000Z,156.26901245117188,
C,2021-05-17T11:06:40.000Z,108.58930969238281,
D,2021-05-17T11:06:40.000Z,115.73090362548828,
E,2021-05-17T11:06:40.000Z,110.73287200927734,
A,2021-05-17T11:06:50.000Z,3740.087158203125,label_1
B,2021-05-17T11:06:50.000Z,156.26901245117188,
C,2021-05-17T11:06:50.000Z,108.58930969238281,
D,2021-05-17T11:06:50.000Z,115.73090362548828,
E,2021-05-17T11:06:50.000Z,110.73287200927734,
A,2021-05-17T11:07:00.000Z,3746.9892578125,label_1
B,2021-05-17T11:07:00.000Z,156.2474822998047,
C,2021-05-17T11:07:00.000Z,108.48329162597656,
D,2021-05-17T11:07:00.000Z,115.56071472167969,
E,2021-05-17T11:07:00.000Z,110.77539825439453,
A,2021-05-17T11:07:10.000Z,3746.9892578125,label_1
B,2021-05-17T11:07:10.000Z,156.2474822998047,
C,2021-05-17T11:07:10.000Z,108.48329162597656,
D,2021-05-17T11:07:10.000Z,115.56071472167969,
E,2021-05-17T11:07:10.000Z,110.77539825439453,
A,2021-05-17T11:07:20.000Z,3746.9892578125,label_1
B,2021-05-17T11:07:20.000Z,156.2474822998047,
C,2021-05-17T11:07:20.000Z,108.48329162597656,
D,2021-05-17T11:07:20.000Z,115.56071472167969,
E,2021-05-17T11:07:20.000Z,110.77539825439453,
A,2021-05-17T11:07:30.000Z,3484.707275390625,label_1
B,2021-05-17T11:07:30.000Z,156.26901245117188,
